patent_id,priority_claim_sequence,priority_claim_kind,foreign_application_id,filing_date,foreign_country_filed
4579440,0,,57-203133,1982-11-18,JP
4736480,0,,3511086,1985-03-27,DE
11091751,0,regional,17173813,2017-05-31,EP
8001979,0,national,2006-121062,2006-04-25,JP
D449111,0,,0110048,2001-01-09,HK
5228311,0,,4025984,1990-08-16,DE
10000897,0,national,10 2012 006 189,2012-03-27,DE
10608248,0,national,2013-209444,2013-10-04,JP
7641148,0,national,0508020.5,2005-04-21,GB
10018915,0,national,2015-246936,2015-12-18,JP
9135108,0,national,2011-132790,2011-06-15,JP
4410732,0,,56-105020,1981-07-07,JP
9365811,0,regional,10187494,2010-10-14,EP
11559969,1,national,1712058,2017-07-26,GB
4966022,0,,3844163,1988-12-23,DE
4241321,0,,53/016259,1978-02-15,JP
6988087,0,national,2001-116435,2001-04-16,JP
12138353,0,regional,16205545,2016-12-20,EP
4460958,0,,8102281,1981-01-26,GB
4200886,0,,2740945,1977-09-10,DE
11963895,0,national,102018109580.5,2018-04-20,DE
5049028,2,,57-189077,1982-10-29,JP
10680860,0,national,1416859.5,2014-09-24,GB
10430944,0,national,2013-084669,2013-04-15,JP
11933438,0,national,2019-231493,2019-12-23,JP
10503284,0,national,107122610 A,2018-06-29,TW
9968003,0,national,2014-005775,2014-01-16,JP
10690165,0,national,10 2015 116 426,2015-09-29,DE
7097249,0,national,2002-213458,2002-07-23,JP
8472501,0,national,10-2008-0054012,2008-06-10,KR
11111951,0,national,1508536,2015-05-18,GB
9751759,0,national,1217525.3,2012-10-01,GB
4507947,2,,PF7432,1982-12-23,AU
9724962,0,national,10 2013 101 421,2013-02-13,DE
9911837,1,national,2014 1 0344152,2014-07-18,CN
6180030,2,,9-151063,1997-06-09,JP
5517401,0,,4-056660,1992-02-07,JP
D688979,2,national,2011-004262,2011-02-28,JP
12510942,0,national,10-2021-0105436,2021-08-10,KR
8608855,0,national,2006-126794,2006-04-28,JP
9651206,0,national,MI2014A0550,2014-03-30,IT
11071014,2,national,10-2014-0080171,2014-06-27,KR
9312435,0,national,10 2010 055 265,2010-12-20,DE
7306743,0,national,2001-082436,2001-03-22,JP
5387420,0,,8820327,1988-08-26,GB
8752961,0,national,2009-124349,2009-05-22,JP
10982343,0,regional,17200836,2017-11-09,EP
5969525,0,,96201828,1996-07-01,EP
7135718,2,national,2002-105915,2002-04-09,JP
11314014,0,national,201720496177.4,2017-05-07,CN
3951700,1,,48-130103,1973-11-21,JA
8864225,0,national,2010-174148,2010-08-03,JP
9753296,0,regional,14178791,2014-07-28,EP
5188346,0,,1-257487,1989-10-02,JP
4935189,0,,62-325445,1987-12-24,JP
5543876,1,,5-102145,1993-04-28,JP
12219259,0,national,2022-085656,2022-05-26,JP
11034265,0,national,18 57050,2018-07-27,FR
D262010,0,,75584,1978-08-15,AU
4105494,0,,73001471,1973-01-05,SE
11356761,0,national,202020639911.X,2020-04-24,CN
3933490,0,,46-87762,1971-11-04,JA
6194121,0,,57-166832,1982-09-25,JP
9846036,1,national,10-2015-0048932,2015-04-07,KR
6912020,0,national,2000-238699,2000-08-07,JP
11324672,0,regional,16197109,2016-11-03,EP
8432642,0,national,2009-076558,2009-03-26,JP
12183245,0,national,10-2023-0010960,2023-01-27,KR
9193764,0,national,0216286.5,2002-07-15,GB
6153712,0,,8-140233,1996-06-03,JP
11521519,0,national,PI2016001296,2016-07-12,MY
D742940,0,national,2014-003565,2014-02-21,JP
4982227,0,,63-54328,1988-03-08,JP
7276791,1,national,2002-270145,2002-09-17,JP
7814628,0,national,2001-190103,2001-06-22,JP
5298365,1,,2-126662,1990-05-18,JP
5125508,0,,1-80000[U],1989-07-06,JP
8130500,0,national,2009-241684,2009-10-20,JP
9714635,0,national,10 2013 207 367,2013-04-23,DE
6219008,1,,99-8208  U,1999-05-14,KR
9139304,0,national,226016,2013-04-28,IL
11975072,0,national,1756924,2017-07-21,FR
7822343,0,national,10-2004-0103092,2004-12-08,KR
12423263,0,national,202311501867.0,2023-11-10,CN
9545430,0,national,2012 1 0041932,2012-02-23,CN
10167100,1,national,13 63090,2013-12-19,FR
5030910,0,,3826698,1988-08-05,DE
6620409,0,,199 62 877,1999-12-24,DE
4303931,0,,75 28632,1975-09-18,FR
12075933,0,national,201941025979,2019-06-28,IN
12069887,0,national,201811633012.2,2018-12-29,CN
6180041,0,,04-203102,1992-07-07,JP
9259383,0,regional,12157557,2012-02-29,EP
5153707,0,,1-288340,1989-11-06,JP
10748764,0,national,2018-020441,2018-02-07,JP
4021707,0,,2449097,1974-10-15,DT
11081862,0,national,2013-166571,2013-08-09,JP
9484521,1,national,10-2014-0040454,2014-04-04,KR
9523970,0,national,2012-009138,2012-01-19,JP
6103137,0,,97-69282,1997-12-16,KR
10162720,0,national,1411918.4,2014-07-03,GB
6387336,0,,197 28 343,1997-07-03,DE
7377256,0,national,103 50 778,2003-10-30,DE
5142387,0,,2-96734,1990-04-11,JP
12104863,0,national,1751497-7,2017-12-05,SE
6875252,0,national,11-342435,1999-12-01,JP
10770869,0,national,2017 1 1229424,2017-11-29,CN
8398395,0,national,192008,2008-06-05,IL
11174398,0,national,1814691,2018-09-10,GB
4434373,0,,7932528[U],1979-11-17,DE
7071521,2,national,102 22 959,2002-05-23,DE
11268916,0,national,JP2018-208933,2018-11-06,JP
11652095,5,national,201811528014.5,2018-12-14,CN
4773692,0,,3613319,1986-04-19,DE
5849616,0,,2-89508,1990-04-03,JP
7187108,0,national,2004-121031,2004-04-16,JP
