patent_id,gi_organization_id,fedagency_name,level_one,level_two,level_three
3930295,55,Army,Department of Defense,Army,
3930366,5,Department of Defense,Department of Defense,,
3930405,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3930449,18,United States Government,United States Government,,
3930537,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3930541,18,United States Government,United States Government,,
3930550,18,United States Government,United States Government,,
3930628,18,United States Government,United States Government,,
3930691,18,United States Government,United States Government,,
3930735,18,United States Government,United States Government,,
3930753,64,Navy,Department of Defense,Navy,
3930848,53,Air Force,Department of Defense,Air Force,
3930956,13,"Department of Health, Education, and Welfare","Department of Health, Education, and Welfare",,
3930956,19,Department of Health and Human Services,Department of Health and Human Services,,
3930956,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health,
3931132,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3931325,64,Navy,Department of Defense,Navy,
3931354,53,Air Force,Department of Defense,Air Force,
3931388,18,United States Government,United States Government,,
3931447,18,United States Government,United States Government,,
3931456,18,United States Government,United States Government,,
3931462,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3931513,18,United States Government,United States Government,,
3931516,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3931522,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3931532,18,United States Government,United States Government,,
3931607,18,United States Government,United States Government,,
3931687,55,Army,Department of Defense,Army,
3932014,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3932123,18,United States Government,United States Government,,
3932226,55,Army,Department of Defense,Army,
3932262,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3932262,224,Ames Laboratory,Department of Energy,Ames Laboratory,
3932300,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3932546,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health,
3932592,31,National Science Foundation,National Science Foundation,,
3932597,53,Air Force,Department of Defense,Air Force,
3932657,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3932717,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3932738,53,Air Force,Department of Defense,Air Force,
3932777,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3932835,18,United States Government,United States Government,,
3932873,64,Navy,Department of Defense,Navy,
3932916,18,United States Government,United States Government,,
3932928,18,United States Government,United States Government,,
3933000,18,United States Government,United States Government,,
3933042,18,United States Government,United States Government,,
3933050,18,United States Government,United States Government,,
3933096,18,United States Government,United States Government,,
3933431,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3933481,64,Navy,Department of Defense,Navy,
3933520,79,Energy Research and Development Administration,Department of Energy,Energy Research and Development Administration,
3933521,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3933573,18,United States Government,United States Government,,
3933581,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3933865,18,United States Government,United States Government,,
3933944,18,United States Government,United States Government,,
3934033,18,United States Government,United States Government,,
3934046,18,United States Government,United States Government,,
3934082,18,United States Government,United States Government,,
3934149,18,United States Government,United States Government,,
3934170,5,Department of Defense,Department of Defense,,
3934192,31,National Science Foundation,National Science Foundation,,
3934212,53,Air Force,Department of Defense,Air Force,
3934212,64,Navy,Department of Defense,Navy,
3934234,18,United States Government,United States Government,,
3934239,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3934288,18,United States Government,United States Government,,
3934482,18,United States Government,United States Government,,
3934612,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3934845,53,Air Force,Department of Defense,Air Force,
3934846,18,United States Government,United States Government,,
3934902,55,Army,Department of Defense,Army,
3934922,31,National Science Foundation,National Science Foundation,,
3934971,18,United States Government,United States Government,,
3935063,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3935219,64,Navy,Department of Defense,Navy,
3935308,18,United States Government,United States Government,,
3935457,19,Department of Health and Human Services,Department of Health and Human Services,,
3935457,24,Department of Education,Department of Education,,
3935457,31,National Science Foundation,National Science Foundation,,
3935479,18,United States Government,United States Government,,
3935543,64,Navy,Department of Defense,Navy,
3935548,53,Air Force,Department of Defense,Air Force,
3935563,18,United States Government,United States Government,,
